timestamp,level,module,message
2026-06-06 08:40:23,INFO,流程启动,水泥窑熟料质量分析开始
2026-06-06 08:40:23,INFO,字典加载,开始加载字典表: data/dictionary.csv
2026-06-06 08:40:23,INFO,字典加载,字典表加载完成，共 5 条熟料编号映射
2026-06-06 08:40:23,INFO,阈值加载,开始加载阈值规则: data/thresholds.json
2026-06-06 08:40:23,INFO,阈值加载,阈值规则加载完成，版本: 1.0，共 3 个品种规则
2026-06-06 08:40:23,INFO,数据加载,开始加载原始明细: data/raw_data.csv
2026-06-06 08:40:23,INFO,数据加载,数据加载完成，总计 25 条，有效 25 条，坏行 0 条
2026-06-06 08:40:23,INFO,异常检测,开始异常样本检测
2026-06-06 08:40:23,INFO,异常检测,异常检测完成，异常样本 7 条，其中预警 21 项，严重 4 项
2026-06-06 08:40:23,INFO,统计计算,"开始统计计算，周期: day，分组维度: kiln_id, clinker_code"
2026-06-06 08:40:23,INFO,统计计算,统计计算完成，3 个周期，9 个分组
2026-06-06 08:40:23,INFO,趋势分析,开始趋势摘要分析
2026-06-06 08:40:23,INFO,趋势分析,趋势分析完成，覆盖 3 个分组
2026-06-06 08:40:23,INFO,结果导出,开始导出结果文件
2026-06-06 08:40:23,INFO,结果导出,统计结果已导出: statistics_result.csv
2026-06-06 08:40:23,INFO,结果导出,异常样本已导出: abnormal_samples.csv
2026-06-06 08:40:23,INFO,结果导出,无坏行数据，跳过导出
2026-06-06 08:40:23,INFO,结果导出,趋势摘要已导出: trend_summary.csv
